FW Layer;Batch;Time(s);Performance(imgs/s)
Conv2D;64;0.0300;2132.05
BatchNorm2D;64;0.0310;2067.54
ReLU;64;0.0062;10355.91
MaxPool2D;64;0.0061;10567.08
Conv2D;64;0.0582;1099.99
BatchNorm2D;64;0.0286;2241.63
ReLU;64;0.0059;10765.84
MaxPool2D;64;0.0052;12364.03
Conv2D;64;0.0445;1438.24
BatchNorm2D;64;0.0177;3609.46
ReLU;64;0.0029;22313.84
MaxPool2D;64;0.0058;10960.58
Flatten;64;0.0000;2164802.06
Dense;64;0.0221;2890.66
ReLU;64;0.0001;581029.13
Dropout;64;0.0004;154807.07
Dense;64;0.0003;221847.48
Softmax;64;0.0019;34392.76
